Contrato - ID de contrato,Tipo de contrato,Organización - Departamento,Partes afectadas - Nombre del proveedor (L1),Contrato - Fecha de expiración,dias_hasta_vencimiento,Estado del contrato
CW2362723,CONTRATO DE PRESTACIÓN DE SERVICIOS (EPS SURA),Estructuracion de la Red,MEDIGLOBAL I.P.S S.A.S,2026-05-14,3.0,Publicado
CW2346306,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Infraestructura,SOFTWEB ASESORES S.A.S,2026-05-14,3.0,Publicado
CW2345858,CONTRATO DE SUMINISTRO DE MEDICAMENTOS Ó INSUMOS MEDICOS (ARL),ARL Salud,NUVASIVE COLOMBIA SAS,2026-05-14,3.0,Publicado
CW2344706,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Operaciones Generales,IPS CENTRO DE EXCELENCIA EN RIESGO,2026-05-14,3.0,Borrador
CW2346234,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,YAMIL BAJAIRE VILLA Y CIA SAS,2026-05-14,3.0,Publicado
CW2346306,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Infraestructura,SOFTWEB ASESORES S.A.S,2026-05-14,3.0,Publicado
CW2349129,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,IPS CENTRO DE REHABILITACION INTEGR,2026-05-14,3.0,Publicado
CW2346306,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Infraestructura,SOFTWEB ASESORES S.A.S,2026-05-14,3.0,Publicado
CW2312515,CONTRATO DE PRESTACIÓN DE SERVICIOS (EPS SURA),Estructuracion de la Red,RADIOTERAPIA ONCOLOGIA MARLY S A,2026-05-14,3.0,Publicado
CW2345858,CONTRATO DE SUMINISTRO DE MEDICAMENTOS Ó INSUMOS MEDICOS (ARL),ARL Salud,NUVASIVE COLOMBIA SAS,2026-05-14,3.0,Publicado
CW2346010,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,JOHANNA PARRA ORTIZ,2026-05-14,3.0,Publicado
CW2346306,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Infraestructura,SOFTWEB ASESORES S.A.S,2026-05-14,3.0,Publicado
CW2348418,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,CENTRO DE FISIOTERAPIA KENDALL LTDA,2026-05-14,3.0,Publicado
64121,, ,AOM EXPRESS SAS,2026-05-15,4.0,Cerrado
CW2232425,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Mantenimiento y Gestion Ambiental,ANALQUIM  LTDA,2026-05-15,4.0,Publicado
CW2232425,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Mantenimiento y Gestion Ambiental,ANALQUIM  LTDA,2026-05-15,4.0,Publicado
CW2261563,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,IRMA VANESSA QUINTERO GIRALDO,2026-05-15,4.0,Publicado
CW2261401,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,NATHALIA  GOMEZ MUÑOZ,2026-05-15,4.0,Publicado
CW2342881,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,OSCAR DARIO GARCIA QUINTERO,2026-05-15,4.0,Publicado
CW2260346,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,MANAGEMENT AND RISK CONTROL SAS,2026-05-15,4.0,Publicado
CW2367442,CONTRATO MARCO DE SERVICIOS,Soluciones de Negocio,AMARIS CONSULTING SAS,2026-05-15,4.0,Publicado
CW2260346,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,MANAGEMENT AND RISK CONTROL SAS,2026-05-15,4.0,Publicado
CW2304595,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,OFTALMOSERVICIOS IPS S.A.S.,2026-05-15,4.0,Publicado
CW2375729,"TÉRMINOS Y CONDICIONES GRUPO SURA, FUNDACIÓN Y UC",G.S. Talento Humano,PAULA RINCON GOMEZ,2026-05-15,4.0,Publicado
CW2345029,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,JAIRO MAURICIO ALZATE DUQUE,2026-05-15,4.0,Publicado
CW2258587,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,SESELEC INGENIEROS CONSULTORES S.A.,2026-05-15,4.0,Publicado
CW2260531,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,EDGARDO CARVAJALINO MONTENEGRO,2026-05-15,4.0,Publicado
CW2377700,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,KIARA CORALIA CAMPO LANDINES,2026-05-15,4.0,Publicado
CW2342010,CONTRATO MARCO DE SERVICIOS,Desarrollo Organizacional y Mercadeo,TANIA  GARCIA MORALES,2026-05-15,4.0,Publicado
CW2359559,CONTRATO DE USO DE RED (SEGUROS),Seguros,BANCO DE OCCIDENTE,2026-05-15,4.0,Publicado
CW2350571,ACUERDO DE TERMINACIÓN DE CONTRATO,Asistencia,AOM EXPRESS SAS,2026-05-15,4.0,Cerrado
CW2287186,CONTRATO DE PRESTACIÓN DE SERVICIOS ATENCIONES UNIDAD ENSAYOS CLINICOS ALIADOS,IPS,NELSON RICARDO PORRAS SANCHEZ,2026-05-15,4.0,Publicado
CW2286430,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Infraestructura,CHAIN SERVICES TI SAS,2026-05-15,4.0,Publicado
CW2377698,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,KELLYN ROCIO REALES GUILLEN,2026-05-15,4.0,Publicado
CW2346584,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,SANDRA LEGUIZAMON SALAMANCA,2026-05-15,4.0,Publicado
CW2309224,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,FISIOS CENTRO DE TERAPIA SAS,2026-05-15,4.0,Publicado
CW2277041,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,DIEGO ALEJANDRO GRAJALES RESTREPO,2026-05-15,4.0,Publicado
CW2251321,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,DANIELA PIEDRAHITA GAVIRIA,2026-05-15,4.0,Borrador
CW2345386,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Infraestructura,INTERLAN S.A.S,2026-05-15,4.0,Publicado
CW2377696,TERMINACIÓN SIN INCUMPLIMIENTO,Consultoría en Gestión de riesgos,KIARA CORALIA CAMPO LANDINES,2026-05-15,4.0,Cerrado
CW2327763,CONTRATO DE PROPIEDAD INTELECTUAL,Desarrollo Organizacional y Mercadeo, ,2026-05-15,4.0,Publicado
CW2261345,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,FISIOS CENTRO DE TERAPIA SAS,2026-05-15,4.0,Publicado
CW2327772,CONTRATO DE PROPIEDAD INTELECTUAL,Desarrollo Organizacional y Mercadeo, ,2026-05-15,4.0,Publicado
CW2342010,CONTRATO MARCO DE SERVICIOS,Desarrollo Organizacional y Mercadeo,TANIA  GARCIA MORALES,2026-05-15,4.0,Publicado
CW2346526,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,SHIRLEY BEATRIZ CAMARGO CARRILLO,2026-05-15,4.0,Publicado
CW2345222,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,AMALIA ERIKA PAREJA BINDER,2026-05-15,4.0,Cerrado
CW2309224,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,FISIOS CENTRO DE TERAPIA SAS,2026-05-15,4.0,Publicado
CW2346580,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,ELIANA MARIA DURANGO ALVAREZ,2026-05-15,4.0,Publicado
CW2346573,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,CARMEN DANIZA MARES CARPINTERO,2026-05-15,4.0,Publicado
CW2377716,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,ELIANA MARIA DURANGO ALVAREZ,2026-05-15,4.0,Publicado
CW2345040,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,BLANCA DEL CARMEN MAHECHA DUQUE,2026-05-15,4.0,Publicado
CW2342010,CONTRATO MARCO DE SERVICIOS,Desarrollo Organizacional y Mercadeo,TANIA  GARCIA MORALES,2026-05-15,4.0,Publicado
CW2376218,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,CARMEN DANIZA MARES CARPINTERO,2026-05-15,4.0,Publicado
CW2345416,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Soluciones de Negocio,POSICION DIGITAL S.A.S,2026-05-15,4.0,Publicado
CW2345224,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,KELLYN ROCIO REALES GUILLEN,2026-05-15,4.0,Publicado
CW2377693,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,MARIA ANGELICA RESTREPO CADAVID,2026-05-15,4.0,Publicado
CW2232425,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Mantenimiento y Gestion Ambiental,ANALQUIM  LTDA,2026-05-15,4.0,Publicado
CW2345309,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,KIARA CORALIA CAMPO LANDINES,2026-05-15,4.0,Publicado
CW2222798,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Mantenimiento y Gestion Ambiental,ANALQUIM  LTDA,2026-05-15,4.0,Publicado
CW2346569,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,JULIANA HENAO BEDOYA,2026-05-15,4.0,Publicado
CW2222798,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Mantenimiento y Gestion Ambiental,ANALQUIM  LTDA,2026-05-15,4.0,Publicado
CW2377684,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,SHIRLEY BEATRIZ CAMARGO CARRILLO,2026-05-15,4.0,Publicado
CW2346587,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Consultoría en Gestión de riesgos,MARIA ANGELICA RESTREPO CADAVID,2026-05-15,4.0,Publicado
CW2222798,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Mantenimiento y Gestion Ambiental,ANALQUIM  LTDA,2026-05-15,4.0,Publicado
CW2222798,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Mantenimiento y Gestion Ambiental,ANALQUIM  LTDA,2026-05-15,4.0,Publicado
CW2261420,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,ALDEN POOL GOMEZ ALFEREZ,2026-05-15,4.0,Publicado
CW2336495,CONTRATO MARCO DE SERVICIOS,Desarrollo Organizacional y Mercadeo,TANIA  GARCIA MORALES,2026-05-15,4.0,Publicado
CW2308780,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Infraestructura,CHAIN SERVICES TI SAS,2026-05-15,4.0,Publicado
CW2362686,CONTRATO DE OBRA CIVIL,Regional Centro,FAMOC DEPANEL S.A.S.,2026-05-15,4.0,Publicado
CW2258587,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,SESELEC INGENIEROS CONSULTORES S.A.,2026-05-15,4.0,Publicado
CW2367442,CONTRATO MARCO DE SERVICIOS,Soluciones de Negocio,AMARIS CONSULTING SAS,2026-05-15,4.0,Publicado
CW2342010,CONTRATO MARCO DE SERVICIOS,Desarrollo Organizacional y Mercadeo,TANIA  GARCIA MORALES,2026-05-15,4.0,Publicado
CW2345131,CONTRATO MARCO DE SERVICIOS,Desarrollo Organizacional y Mercadeo,TANIA  GARCIA MORALES,2026-05-15,4.0,Publicado
CW2304595,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,OFTALMOSERVICIOS IPS S.A.S.,2026-05-15,4.0,Publicado
CW2260830,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,SERVICIOS E INGENIERIA SERVING LTDA,2026-05-16,5.0,Publicado
CW2261380,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,Natalia  Quijano Perez,2026-05-16,5.0,Publicado
CW2260830,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,SERVICIOS E INGENIERIA SERVING LTDA,2026-05-16,5.0,Publicado
CW2260884,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,SYSO CONSULTORIA SAS IPS,2026-05-16,5.0,Publicado
CW2367170,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Movilidad,TOURING Y AUTOMOVIL CLUB DE COLOMBI,2026-05-16,5.0,Publicado
CW2260884,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,SYSO CONSULTORIA SAS IPS,2026-05-16,5.0,Publicado
CW2377431,TERMINACIÓN SIN INCUMPLIMIENTO,Estructuracion de la Red,LUIS ANDRES COTES ARAUJO,2026-05-16,5.0,Cerrado
CW2343343,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Movilidad,TOURING Y AUTOMOVIL CLUB DE COLOMBI,2026-05-16,5.0,Publicado
CW2260786,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,SEGURIDAD ACUATICA Y RESCATE DE COL,2026-05-16,5.0,Publicado
CW2260786,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,SEGURIDAD ACUATICA Y RESCATE DE COL,2026-05-16,5.0,Publicado
CW2261104,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,SABIO SAS,2026-05-17,6.0,Publicado
CW2261099,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,HSEO CONSULTORIAS EN GESTION INTEGRAL,2026-05-17,6.0,Publicado
CW2261099,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,HSEO CONSULTORIAS EN GESTION INTEGRAL,2026-05-17,6.0,Publicado
CW2307608,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,FUNDACION TACTIC VIAL,2026-05-17,6.0,Publicado
83461,,Estructuracion de la Red,EMPRESA SOCIAL DEL ESTADO HOSPITAL,2026-05-17,6.0,Publicado
CW2261128,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,PREVER ASESORES EN SEGURIDAD Y SALU,2026-05-17,6.0,Publicado
CW2307608,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,FUNDACION TACTIC VIAL,2026-05-17,6.0,Publicado
CW2261104,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,SABIO SAS,2026-05-17,6.0,Publicado
CW2329552,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Vaxthera,BANCO DAVIVIENDA S.A.,2026-05-17,6.0,Publicado
CW2261128,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,PREVER ASESORES EN SEGURIDAD Y SALU,2026-05-17,6.0,Publicado
58819,,ARL Salud,OFTALMOLOGOS ASOCIADOS DE LA COSTA,2026-05-17,6.0,Publicado
58819,,ARL Salud,OFTALMOLOGOS ASOCIADOS DE LA COSTA,2026-05-17,6.0,Publicado
CW2285916,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,AVENIR CIA LTDA,2026-05-18,7.0,Publicado
CW2286138,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,RECUPERAMI ZOMAC S.A.S.,2026-05-18,7.0,Publicado
